iter	RMSE
0	0.8150912118
1	0.7940183376
2	0.7749596149
3	0.7564839696
4	0.7404461676
5	0.724470242
6	0.7095603707
7	0.6958504467
8	0.6826358186
9	0.6706782881
10	0.6596694377
11	0.6492932735
12	0.6397597654
13	0.6305724304
14	0.6222731361
15	0.6138379508
16	0.606355449
17	0.599114984
18	0.5928656628
19	0.5871537289
20	0.5812403234
21	0.5761960165
22	0.5712461377
23	0.5669825081
24	0.5626718327
25	0.5589064326
26	0.5553595334
27	0.5521188089
28	0.5489950976
29	0.5461914075
30	0.5432400848
31	0.5404336062
32	0.5382422968
33	0.5358142297
34	0.5335647541
35	0.5317710589
36	0.5300675485
37	0.5284359279
38	0.5268691846
39	0.5253297067
40	0.5238158913
41	0.5224626008
42	0.5210813557
43	0.5199727507
44	0.5188122053
45	0.5176689734
46	0.5164148393
47	0.5155157543
48	0.5144710656
49	0.5136016513
50	0.512425505
51	0.5116151246
52	0.5109562396
53	0.5100339453
54	0.5093671048
55	0.5086578659
56	0.507924537
57	0.5071403895
58	0.5065050977
59	0.5059275264
60	0.505398047
61	0.504527025
62	0.5039977705
63	0.5033609883
64	0.5028440744
65	0.5023211447
66	0.5018480646
67	0.5011566717
68	0.5006576105
69	0.5002356227
70	0.4997969333
71	0.4994297909
72	0.4990592912
73	0.4987247801
74	0.4983799672
75	0.4980418471
76	0.4976894422
77	0.4973201551
78	0.4969848827
79	0.4965683984
80	0.496294674
81	0.4960560788
82	0.4958671652
83	0.4956388626
84	0.4952357322
85	0.4950331353
86	0.4947794602
87	0.494586662
88	0.4941757213
89	0.4938575685
90	0.4936770506
91	0.4934215663
92	0.4932506263
93	0.4931204541
94	0.4928966408
95	0.4927673261
96	0.4926165221
97	0.4923625909
98	0.4920830928
99	0.4918784247
100	0.4917408492
101	0.491482862
102	0.4912735537
103	0.4911005405
104	0.4908973473
105	0.4907738281
106	0.4905817054
107	0.4904476129
108	0.4902205028
109	0.4900588361
110	0.4898367779
111	0.4897010855
112	0.4894919071
113	0.489363501
114	0.4891517078
115	0.4889378494
116	0.4888029152
117	0.4886671893
118	0.4884193396
119	0.4881739214
120	0.4880055569
121	0.4878791891
122	0.487765566
123	0.4876524883
124	0.487576239
125	0.4874694067
126	0.4872216994
127	0.4871459651
128	0.4869586093
129	0.4867489435
130	0.4865946036
131	0.4864879705
132	0.4863743419
133	0.4862465635
134	0.4861304953
135	0.4859056358
136	0.4857749778
137	0.4857023392
138	0.4855878677
139	0.4855018432
140	0.4854386273
141	0.4851243055
142	0.4850307482
143	0.4849335246
144	0.4848532155
145	0.4847209255
146	0.4845769935
147	0.4844505383
148	0.4842471937
149	0.4841790351
150	0.4840689634
151	0.4838910554
152	0.4837667113
153	0.48370889
154	0.4835325639
155	0.4833864595
156	0.4833095812
157	0.4832395665
158	0.4831313316
159	0.4830249287
160	0.4829728314
161	0.4827824842
162	0.4827366606
163	0.4826317539
164	0.4825729627
165	0.4824737497
166	0.4823647382
167	0.4822361904
168	0.4821046899
169	0.4820532508
170	0.4819834786
171	0.4818870585
172	0.4816797893
173	0.48158377
174	0.4814874003
175	0.4813823348
176	0.4812587522
177	0.4811673325
178	0.4810603117
179	0.4809888619
180	0.4808365287
181	0.4807344527
182	0.4805754902
183	0.4804552973
184	0.4804092114
185	0.4803165388
186	0.4802112289
187	0.4801079006
188	0.4799564024
189	0.4798605944
190	0.4797794045
191	0.4797035849
192	0.4795950467
193	0.4795202574
194	0.4793200657
195	0.4792478732
196	0.4791668185
197	0.4790554919
198	0.4789953939
199	0.4789219002
200	0.4788578105
201	0.4786939298
202	0.4785831709
203	0.4784998737
204	0.4784600437
205	0.478405377
206	0.4783009604
207	0.4782453353
208	0.478167219
209	0.4781436611
210	0.4780685938
211	0.4780242896
212	0.4779400398
213	0.4778158898
214	0.4776948491
215	0.4776038888
216	0.4775142145
217	0.4774396553
218	0.4773319742
219	0.4772142255
220	0.4771069349
221	0.4770553593
222	0.4770099885
223	0.4769439495
224	0.4768409001
225	0.47674023
226	0.4766391794
227	0.4764969472
228	0.4764481289
229	0.4763934609
230	0.4763341362
231	0.4762240459
232	0.4761123456
233	0.476029268
234	0.4759544184
235	0.4758721556
236	0.4757491334
237	0.4756657649
238	0.4755415769
239	0.4754966637
240	0.4754085204
241	0.4753103596
242	0.4751953136
243	0.4751037822
244	0.4750101217
245	0.474936675
246	0.4748648522
247	0.47479938
248	0.4747382352
249	0.4746522883
250	0.4745627698
251	0.4745064759
252	0.4744669163
253	0.4744251062
254	0.4743059931
255	0.4742762049
256	0.4741664207
257	0.4741075018
258	0.4740573722
259	0.4739475028
260	0.473872878
261	0.47377967
262	0.4737281882
263	0.473671223
264	0.4736061526
265	0.4734692262
266	0.4733608274
267	0.4732471998
268	0.4732048697
269	0.473144241
270	0.4730059814
271	0.4729461744
272	0.4728999843
273	0.4728271129
274	0.4727588967
275	0.4726718952
276	0.472531095
277	0.4724037643
278	0.472332351
279	0.4722670707
280	0.472224144
281	0.4721580565
282	0.4721053088
283	0.4720528075
284	0.4719978989
285	0.4719121278
286	0.4718537433
287	0.4717272
288	0.4716358895
289	0.4715541025
290	0.4714612366
291	0.4713441065
292	0.4712360969
293	0.4711396386
294	0.4710770928
295	0.4709847442
296	0.4708791865
297	0.4708334906
298	0.4707186152
299	0.4706362269
300	0.4705878846
301	0.4705189961
302	0.4704204644
303	0.4703673426
304	0.4702672649
305	0.4702122213
306	0.4701685941
307	0.470082712
308	0.4700426339
309	0.4699900334
310	0.4699498723
311	0.4698489308
312	0.4697614097
313	0.4696797002
314	0.469631346
315	0.4695263316
316	0.4694292822
317	0.4693542701
318	0.4692829718
319	0.4692110719
320	0.469135934
321	0.4690497527
322	0.4689900533
323	0.4689522792
324	0.4689061611
325	0.4688589052
326	0.468751992
327	0.4686744442
328	0.4686448833
329	0.4685765544
330	0.4685019756
331	0.4684016252
332	0.4683484989
333	0.4682795562
334	0.4682023635
335	0.4681440563
336	0.4680876085
337	0.4680425555
338	0.4679473263
339	0.4678884444
340	0.4678588724
341	0.4677890322
342	0.4676962332
343	0.4676227086
344	0.4675662794
345	0.467478768
346	0.4674347278
347	0.4673670021
348	0.4673099849
349	0.4672524605
350	0.4672061619
351	0.4671328496
352	0.4670766573
353	0.4669939708
354	0.4669407122
355	0.4668721669
356	0.4668289162
357	0.4667727637
358	0.4667277701
359	0.4666563594
360	0.4666326623
361	0.4665750621
362	0.4665313679
363	0.4664677613
364	0.4664136475
365	0.4663259777
366	0.4662820095
367	0.4662258477
368	0.466120876
369	0.4660382172
370	0.4659556901
371	0.4659158726
372	0.4658450845
373	0.4658010042
374	0.4657273296
375	0.4656952011
376	0.4656224462
377	0.4655334073
378	0.4654760522
379	0.4654211786
380	0.4653706192
381	0.4652863778
382	0.4652020894
383	0.465174101
384	0.4651224768
385	0.4650449304
386	0.4650103289
387	0.4649608051
388	0.464919463
389	0.4648492009
390	0.464785025
391	0.4647474406
392	0.4646613132
393	0.4646209294
394	0.4645443406
395	0.4644468536
396	0.4644165334
397	0.4643572814
398	0.4643404437
399	0.4642694316
400	0.4642049383
401	0.4641473983
402	0.4641226223
403	0.4640534854
404	0.4639914222
405	0.463959377
406	0.4639039605
407	0.4638162198
408	0.463768599
409	0.4637001659
410	0.4636585127
411	0.4635839116
412	0.4634996063
413	0.4634201351
414	0.4634019424
415	0.4633530999
416	0.4633154125
417	0.4632555993
418	0.4631778335
419	0.4631221175
420	0.4630650013
421	0.4630135803
422	0.4629410787
423	0.4628762088
424	0.4628042046
425	0.4627379114
426	0.4627106374
427	0.4626929017
428	0.4626121269
429	0.4625904499
430	0.4625700563
431	0.4625145696
432	0.4624625934
433	0.462403609
434	0.4623358218
435	0.4622614367
436	0.4622077298
437	0.4621784477
438	0.4620742225
439	0.462016313
440	0.4619634082
441	0.461938295
442	0.4618974675
443	0.4618250875
444	0.4618067081
445	0.4617686923
446	0.4617004058
447	0.4616520932
448	0.4615777584
449	0.4615184993
450	0.4614453495
451	0.461377359
452	0.4613420538
453	0.4613222866
454	0.4612653801
455	0.4611973423
456	0.4611525259
457	0.4610886263
458	0.461046871
459	0.4610219894
460	0.4609954819
461	0.4609228831
462	0.4608398502
463	0.4608244018
464	0.460795158
465	0.4607232668
466	0.4606705493
467	0.4606016038
468	0.4605300369
469	0.4604690229
470	0.4604065534
471	0.460344244
472	0.4603143449
473	0.4602492608
474	0.4602108986
475	0.4601566196
476	0.4600977636
477	0.4600840286
478	0.460042657
479	0.4599963775
480	0.4599604243
481	0.4599158667
482	0.4598670556
483	0.4598108691
484	0.4597549467
485	0.4596633941
486	0.4595919488
487	0.4595762072
488	0.4595101295
489	0.45945892
490	0.4593914379
491	0.459318147
492	0.4592483461
493	0.4592012365
494	0.4591505728
495	0.4591327972
496	0.4590760067
497	0.4590198912
498	0.458968827
499	0.4589446396
