iter	Passed	Remaining
0	11	5833
1	14	3654
2	17	2894
3	20	2516
4	23	2305
5	26	2156
6	29	2048
7	31	1962
8	35	1914
9	38	1900
10	41	1839
11	43	1784
12	46	1741
13	49	1727
14	52	1701
15	55	1673
16	58	1650
17	61	1633
18	63	1615
19	66	1596
20	69	1577
21	72	1564
22	74	1547
23	77	1530
24	79	1517
25	82	1506
26	85	1503
27	88	1488
28	90	1477
29	93	1464
30	96	1453
31	98	1445
32	101	1436
33	104	1428
34	107	1431
35	110	1420
36	112	1411
37	115	1409
38	118	1398
39	121	1392
40	123	1386
41	126	1379
42	129	1373
43	132	1368
44	134	1364
45	137	1358
46	140	1356
47	143	1351
48	146	1344
49	148	1339
50	151	1333
51	153	1326
52	157	1328
53	159	1320
54	162	1314
55	164	1306
56	167	1301
57	169	1295
58	172	1289
59	175	1284
60	177	1280
61	180	1275
62	183	1274
63	186	1269
64	188	1264
65	191	1261
66	194	1254
67	197	1252
68	199	1246
69	202	1241
70	204	1237
71	207	1232
72	209	1226
73	212	1222
74	215	1219
75	218	1216
76	220	1213
77	223	1209
78	225	1203
79	229	1202
80	232	1201
81	235	1198
82	237	1194
83	240	1189
84	243	1186
85	245	1183
86	248	1181
87	252	1180
88	254	1177
89	257	1173
90	260	1169
91	263	1166
92	266	1164
93	269	1162
94	272	1160
95	274	1155
96	277	1152
97	280	1148
98	283	1146
99	285	1142
100	288	1140
101	291	1137
102	294	1133
103	297	1132
104	299	1128
105	302	1124
106	305	1120
107	307	1117
108	310	1113
109	312	1109
110	315	1105
111	317	1101
112	320	1097
113	323	1094
114	325	1090
115	328	1086
116	330	1083
117	333	1080
118	336	1076
119	338	1073
120	341	1068
121	343	1065
122	346	1062
123	349	1058
124	351	1054
125	354	1051
126	357	1048
127	359	1045
128	362	1042
129	365	1039
130	367	1036
131	370	1032
132	372	1029
133	375	1026
134	378	1023
135	381	1020
136	383	1016
137	385	1012
138	388	1008
139	390	1005
140	393	1001
141	396	998
142	398	995
143	401	991
144	403	988
145	406	985
146	409	982
147	411	979
148	414	975
149	417	973
150	420	971
151	422	967
152	425	964
153	427	960
154	430	957
155	432	954
156	435	951
157	437	947
158	440	944
159	443	942
160	446	939
161	449	938
162	452	935
163	455	933
164	458	930
165	461	928
166	464	926
167	467	924
168	471	923
169	474	921
170	478	919
171	481	918
172	484	916
173	488	914
174	490	911
175	494	909
176	496	906
177	499	903
178	501	900
179	504	896
180	507	893
181	509	890
182	512	887
183	514	884
184	517	880
185	519	877
186	522	874
187	525	871
188	528	869
189	538	878
190	551	892
191	573	920
192	584	929
193	597	942
194	607	949
195	611	949
196	615	946
197	619	944
198	623	943
199	626	939
200	629	936
201	633	934
202	636	931
203	641	930
204	644	927
205	647	923
206	650	920
207	653	917
208	658	917
209	663	915
210	666	913
211	669	909
212	674	908
213	678	906
214	681	903
215	685	900
216	688	897
217	693	897
218	697	894
219	700	892
220	704	889
221	709	888
222	712	885
223	716	882
224	720	880
225	724	877
226	727	874
227	730	871
228	733	867
229	735	863
230	739	861
231	742	858
232	745	854
233	748	850
234	751	847
235	754	844
236	757	840
237	760	837
238	763	833
239	766	830
240	768	826
241	772	823
242	775	819
243	778	816
244	781	812
245	783	809
246	786	805
247	789	802
248	792	798
249	795	795
250	798	791
251	800	788
252	803	784
253	806	781
254	809	777
255	812	773
256	814	770
257	817	766
258	820	763
259	822	759
260	825	756
261	828	752
262	831	749
263	835	746
264	838	743
265	841	740
266	844	736
267	847	733
268	849	729
269	852	726
270	855	722
271	858	719
272	861	716
273	863	712
274	866	708
275	869	706
276	873	703
277	876	699
278	879	696
279	882	693
280	884	689
281	887	686
282	890	682
283	893	679
284	895	675
285	898	672
286	901	668
287	904	665
288	907	662
289	910	659
290	912	655
291	915	652
292	919	649
293	922	646
294	925	642
295	927	639
296	930	636
297	933	632
298	936	629
299	939	626
300	942	622
301	945	619
302	947	616
303	950	613
304	954	610
305	956	606
306	959	603
307	962	599
308	964	596
309	968	593
310	972	591
311	975	587
312	978	584
313	982	581
314	986	579
315	989	576
316	993	573
317	996	570
318	999	567
319	1003	564
320	1006	561
321	1009	558
322	1013	555
323	1017	552
324	1021	549
325	1024	546
326	1028	543
327	1031	540
328	1035	538
329	1038	535
330	1041	531
331	1044	528
332	1047	525
333	1050	522
334	1053	518
335	1056	515
336	1059	512
337	1062	509
338	1066	506
339	1069	503
340	1071	499
341	1074	496
342	1077	493
343	1080	490
344	1084	487
345	1087	483
346	1089	480
347	1092	477
348	1095	473
349	1098	470
350	1101	467
351	1104	464
352	1108	461
353	1111	458
354	1115	455
355	1119	452
356	1122	449
357	1126	446
358	1129	443
359	1132	440
360	1136	437
361	1138	434
362	1141	431
363	1145	427
364	1148	424
365	1151	421
366	1154	418
367	1157	415
368	1161	412
369	1165	409
370	1168	406
371	1171	403
372	1174	399
373	1177	396
374	1180	393
375	1184	390
376	1187	387
377	1191	384
378	1196	381
379	1199	378
380	1202	375
381	1206	372
382	1209	369
383	1212	366
384	1215	363
385	1221	360
386	1224	357
387	1227	354
388	1230	351
389	1233	347
390	1236	344
391	1239	341
392	1241	338
393	1245	335
394	1248	331
395	1251	328
396	1254	325
397	1257	322
398	1260	318
399	1263	315
400	1266	312
401	1269	309
402	1272	306
403	1275	303
404	1279	300
405	1282	297
406	1285	293
407	1288	290
408	1291	287
409	1294	284
410	1302	281
411	1305	278
412	1308	275
413	1310	272
414	1313	269
415	1316	265
416	1319	262
417	1322	259
418	1325	256
419	1328	253
420	1331	249
421	1334	246
422	1337	243
423	1340	240
424	1343	237
425	1346	233
426	1349	230
427	1352	227
428	1355	224
429	1358	221
430	1361	217
431	1364	214
432	1367	211
433	1369	208
434	1372	205
435	1376	202
436	1380	199
437	1383	195
438	1386	192
439	1395	190
440	1398	187
441	1401	183
442	1404	180
443	1407	177
444	1410	174
445	1412	171
446	1415	167
447	1418	164
448	1421	161
449	1424	158
450	1426	155
451	1429	151
452	1432	148
453	1435	145
454	1438	142
455	1441	139
456	1444	135
457	1447	132
458	1450	129
459	1452	126
460	1455	123
461	1458	119
462	1461	116
463	1464	113
464	1467	110
465	1470	107
466	1473	104
467	1476	100
468	1479	97
469	1482	94
470	1485	91
471	1488	88
472	1491	85
473	1494	81
474	1501	79
475	1507	76
476	1511	72
477	1513	69
478	1516	66
479	1519	63
480	1522	60
481	1525	56
482	1528	53
483	1531	50
484	1534	47
